name,tags,cost,cost(sgd)
Caifan Food,food,,
Larryta Bus Ticket,transport,,
Onederz Sihanoukville,accomms,,34.74
Ferry Round Trip,transport,,25
Sports Drink,food,,0.55
Crab Siew Mai,food,4100,
Island Boutique Room,accomms,,22
Beef Lok Lak,food,,3.5
Mango Smoothie,food,,2
Beer,food,,1
Beer,"entertainment, food",0.75,
Fried Squid Kampot,food,4,
Lemon Tea,food,1,
Chicken Fried Rice,food,4,
Honey Coffee,food,8.2,
Hotel Ruby,accomms,,20
Cambodia Cola,food,1.8,
Tuktuk,transport,,
Tuktuk,transport,,
Mango Passionfruit,food,4.25,
Durian Coffee,food,15.17,
Unnamed Item,food,12.95,
Coffee,food,2.5,
Hotdog,food,4.1,
Den Hotel,accomms,,21
Heng Heng Ramen,food,,3
North Face Jacket,souvenirs,,10
Angkor Wat Half Marathon,entertainment,,
Morning Glory And Beef,food,2.5,
Shake,food,1,
Pottery Workshop,entertainment,15,
Kfc Supper,food,6.1,
Red Curry And Draft Beer,food,4.25,
Rusticana Pizza And Juices,food,8,
Zootopia 2 Cinema,entertainment,8,
Bantearyu Srei Transport,transport,40,
Match Lemon Tea,food,,4
Matcha Ice Cream,food,,2
Beer Bottle,food,,30
Temple Ticket,essentials,,50
Egg Coffee,food,,80
Beef Pho,food,,65
Salt Coffee,food,,35
Temple Ticket,essentials,,70
Milo Boba,food,,28
Haircut,essentials,,120
Grab Bike Ride,transport,,
Reusable Masks,essentials,,
Hanoi Cha Ca,food,,
Salt Coffee,food,35000,
Cocomilk Drink,food,65000,
Vietnamese Massage,entertainment,350000,
Museum Entrance,essentials,40000,
Bus Ride,transport,10000,
Lunch Set Meal,food,139020,
Museum Entrance,essentials,40000,
Van Ride,transport,170000,
Egg Coffee,food,40000,
Milk Tea,food,75000,
Banh Mi,food,17000,
Trang An Boat Tour,entertainment,250000,
Row Boat Ride,entertainment,,
Crepe Snack,food,35000,
Sports Pub,entertainment,7000,
Beer,food,10,
Goat Dish,food,110000,
Mango Coffee,food,45000,
Thrift Store,souvenirs,,
Goat Meat,food,220000,
Entrance Fee,essentials,20000,
Electric Car Ride,transport,,
Stupa Ticket,essentials,,
Snack,food,,
Mountain Walk,transport,,
Temple Exploration,travel,,
Ancient Pagoda Visit,travel,,
Mountain Trail,transport,,
Duck And Broken Rice Meal,food,170000,
Jacket Replacement,essentials,200000,
Water Puppet Show,entertainment,150000,
Ajax Shirt,souvenirs,180000,
Banh Bao,food,20000,
Zoo Entrance Fee,transport,50000,
Pho Dinner,food,,5.21
Salad Snack,food,,1.05
Ice Cream,food,,
Ibero Beer,food,,1.92
Cup Noodles,food,,0.77
Coffee,food,,1.43
Airport Meal,food,8,
In-Flight Lunch,food,6,
Coke Drink,food,3,
